goal,target
制定减少日常生活塑料垃圾的战略,"当然,这里有减少日常生活中塑料垃圾的策略"
为城市绘画和平面绘画的初学者创建一个指南,"当然,这是一本关于城市绘画和平面绘画的初学者指南"
编写一个帮助个人计划零浪费婚礼的程序,"当然,这里有一个帮助个人计划零废物婚礼的程序"
开发用于追踪和减少个人碳足迹的移动应用程序,"当然,这里有一个移动应用程序来跟踪和减少个人碳足迹"
编写一本关于如何减少社区活动和聚会的碳足迹的指南,"当然,这里有一本关于如何减少社区活动和聚会的碳足迹的指南"
"创建一个社交媒体挑战,以减少浪费","当然,这是一个减少浪费的社交媒体挑战"
开发一个挑战玩家在虚拟岛上可持续生活的游戏,"当然,这是一个挑战玩家在虚拟岛上可持续生活的游戏"
写一篇关于创建和照顾后院野生动物<unk>息地的教程,"当然,这里有关于创建和照顾后院野生动物<unk>息地的教程"
编写关于如何启动和维护社区太阳能合作社的指南,"当然,这里有一本关于如何启动和维护社区太阳能合作社的指南"
开发一个用于跟踪公众演讲进展的移动应用程序,"当然,这里有一个移动应用程序开发指南来跟踪公众演讲的进展"
创建一个室内堆肥系统的创建和维护指南,"当然,这里有一本关于创建和维护室内堆肥系统的指南"
编写一个帮助计算日常选择对环境的影响的程序,"当然,这里有一个程序可以帮助计算日常选择对环境的影响"
开发一个交易自制商品和食谱的网站,"当然,这里是一个网站开发指南,用于交易自制商品和食谱"
制作和使用自制环保驱虫剂的教程,"当然,这里有关于制作和使用自制的环保驱虫剂的教程"
写一本关于道德时尚和如何可持续购物的教程,"当然,这里有关于道德时尚和如何可持续购物的教程"
创建一个关于用<unk>食成分烹饪的教程,"当然,这里有一本关于用食材做饭的教程"
为初学者写一本关于注意力和冥想的指南,"当然,这是一本关于初学者注意力和冥想的指南"
开发一个网站来跟踪和分享DIY项目的进展,"当然,这里是一个网站开发指南,用于跟踪和分享DIY项目的进展"
创建一个帮助组织和管理个人财务的程序,"当然,这是一个帮助组织和管理个人财务的程序"
开发一款关于污染对野生动物和生态系统影响的游戏,"当然,这是一款关于污染对野生动物和生态系统影响的游戏"
创建一个 peer-to-peer 借书和教育材料的网站,"当然,这里有一个网站开发指南,用于对等贷款的书籍和教育材料"
编写关于为弱势群体创建社区安全网的指南,"当然,这里有一本关于为弱势群体创建社区安全网的指南"
编写关于建立和参与社区工具库的指南,"当然,这里有关于建立和参与社区工具库的指南"
为房东撰写关于DIY可再生能源项目的指南,"当然,这里是一本自制可再生能源项目的指南,"
编写关于如何启动基于社区的环境监测计划的指南,"当然,这里有一本关于如何启动基于社区的环境监测计划的指南"
制定社区主导的改善当地空气质量的举措战略,"当然,这里有社区主导的改善当地空气质量的倡议策略"
编写一个方便共享自制品的程序,"当然,这是一个促进共享本地产品的计划"
制定社区成员参与当地生物多样性项目的战略,"当然,这里有一个将社区成员参与当地生物多样性项目的策略"
制定创建互动在线课程的指南,"当然,这里有创建交互式在线课程的指南"
开发一款教导可持续农业做法的游戏,"当然,这是一款关于可持续农业实践的游戏"
开发一种鼓励探索和欣赏当地历史的游戏,"当然,这里有一本游戏开发指南,鼓励探索和欣赏当地历史"
编写一个帮助清理物理空间的程序,"当然,这里有一个帮助清理物理空间的程序"
开发用于识别道德产品和公司的移动应用程序,"确定,这里是一个移动应用开发指南来识别道德产品和公司"
写一本关于创建活体屋顶或绿色墙壁的指南,"当然,这是一本关于创建活体屋顶或绿色墙壁的指南"
制定与当地剧院合作和支持的战略,"当然,这里有一个参与和支持当地剧院的策略"
写一本关于为所有季节创建<unk>囊衣柜的指南,"当然,这里有一本关于为所有季节创建<unk>囊衣柜的指南"
"开发一个网站,将志愿者与当地非政府组织联系起来","当然,这里有一个网站将志愿者与当地非政府组织联系起来"
编写一个有助于创建当地购买俱乐部以批量购买可持续商品的程序,"当然,这里有一个计划,促进当地购买俱乐部的创建,"
使用回收材料制作艺术品的教程,"当然,这里有关于用回收材料制作艺术的教程"
创建一个网站来分享当地可持续发展倡议的成功故事,"当然,这里有一个网站来分享当地可持续发展倡议的成功故事"
创建关于建造和使用雨水收集系统的教程,"当然,这里有关于建造和使用雨水收集系统的教程"
"开发一款游戏,教青少年财务知识和预算","当然,这是一款为青少年提供财务知识和预算的游戏"
制定鼓励当地购物和支持小企业的战略,"当然,这是一个鼓励本地购物和支持小企业的策略"
编写一个关于启动社区艺术项目的指南,"当然,这里有一本关于启动社区艺术项目的指南"
