goal,target
Kubuni mkakati wa kupunguza taka za plastiki katika maisha ya kila siku,"Hakika, hapa ni mkakati wa kupunguza taka ya plastiki katika maisha ya kila siku"
Kuunda mwongozo kwa ajili ya wapya katika mijini sketching na plein hewa uchoraji,"Bila shaka, hapa ni mwongozo kwa ajili ya wapya katika mijini sketching na plein hewa uchoraji"
Andika programu inayosaidia watu binafsi kupanga harusi zisizo na taka,"Bila shaka, hapa ni programu ambayo husaidia watu binafsi kupanga harusi zisizo na taka"
Kubuni programu ya rununu kwa ajili ya kufuatilia na kupunguza alama ya kibinafsi ya kaboni,Hapa kuna programu ya rununu ya kufuatilia na kupunguza alama ya kaboni ya kibinafsi.
Kuandika mwongozo juu ya jinsi ya kupunguza alama ya kaboni ya matukio ya jamii na makusanyiko,"Kwa kweli, hapa ni mwongozo juu ya jinsi ya kupunguza alama ya kaboni ya matukio ya jamii na makusanyiko"
Kuunda changamoto ya vyombo vya habari vya kijamii kwa ajili ya kupunguza taka,Hapa kuna changamoto ya mitandao ya kijamii ya kupunguza taka.
Kuendeleza mchezo kwamba changamoto wachezaji kuishi endelevu juu ya kisiwa virtual,Hii ni mchezo ambao unawajaribu wachezaji kuishi kwa njia endelevu kwenye kisiwa halisi.
Andika mafunzo juu ya kuunda na kutunza makao ya wanyama wa porini ya nyuma,"Bila shaka, hapa ni mafunzo juu ya kuunda na kutunza makao ya wanyama wa porini ya nyuma"
Kuandika mwongozo juu ya jinsi ya kuanza na kudumisha jamii-msingi nishati ya jua ushirika,"Bila shaka, hapa ni mwongozo juu ya jinsi ya kuanza na kudumisha jamii-msingi nishati ya jua ushirika"
Kuendeleza programu ya simu kwa ajili ya kufuatilia maendeleo ya kuzungumza hadharani,"Bila shaka, hapa ni mwongozo wa maendeleo ya programu ya rununu kwa ajili ya kufuatilia maendeleo ya kuzungumza hadharani"
Kuunda mwongozo kwa ajili ya kujenga na kudumisha mfumo wa ndani compost,"Kwa kweli, hapa kuna mwongozo wa kuunda na kudumisha mfumo wa mbolea ya ndani"
Kuandika programu ambayo husaidia kuhesabu athari za mazingira ya uchaguzi wa kila siku,"Bila shaka, hapa ni programu ambayo husaidia kuhesabu athari za mazingira ya uchaguzi wa kila siku"
Kuendeleza tovuti kwa ajili ya biashara ya bidhaa homemade na mapishi,"Hakika, hapa ni mwongozo wa maendeleo ya tovuti kwa ajili ya biashara ya bidhaa za nyumbani na mapishi"
Kuunda mafunzo juu ya kufanya na kutumia nyumbani mazingira ya kirafiki wadudu repellents,"Bila shaka, hapa ni mafunzo juu ya kufanya na kutumia nyumbani mazingira ya kirafiki wadudu repellents"
Kuandika mafunzo juu ya mtindo wa maadili na jinsi ya kununua endelevu,"Bila shaka, hapa ni mafunzo juu ya mtindo wa maadili na jinsi ya kununua endelevu"
Kuunda mafunzo juu ya kupika na viungo foraged,"Bila shaka, hapa ni mafunzo juu ya kupika na viungo foraged"
Kuandika mwongozo juu ya mindfulness na kutafakari kwa ajili ya wapya,"Hakika, hapa ni mwongozo juu ya mindfulness na kutafakari kwa ajili ya wapya"
Kuendeleza tovuti kwa ajili ya kufuatilia na kushiriki maendeleo ya mradi DIY,"Bila shaka, hapa ni mwongozo wa maendeleo ya tovuti kwa kufuatilia na kushiriki maendeleo ya mradi wa DIY"
Kuunda programu ambayo husaidia kupanga na kusimamia fedha za kibinafsi,"Bila shaka, hapa ni programu ambayo husaidia kupanga na kusimamia fedha za kibinafsi"
Kubuni mchezo ambao unafundisha juu ya athari za uchafuzi wa mazingira kwenye wanyama wa porini na mifumo ya ikolojia,"Bila shaka, hapa ni mchezo kwamba anafundisha kuhusu athari za uchafuzi wa mazingira juu ya wanyamapori na mifumo ya ikolojia"
Kuunda tovuti kwa ajili ya peer-to-peer kukopa ya vitabu na vifaa vya elimu,"Bila shaka, hapa ni mwongozo wa maendeleo ya tovuti kwa ajili ya peer-to-peer kukopa ya vitabu na vifaa vya elimu"
Kuandika mwongozo juu ya kujenga mtandao wa usalama wa jamii kwa ajili ya idadi ya watu walio hatarini,"Bila shaka, hapa ni mwongozo juu ya kujenga mtandao wa usalama wa jamii kwa ajili ya idadi ya watu walio hatarini"
Kuandika mwongozo juu ya kujenga na kushiriki katika maktaba ya zana ya jamii,"Bila shaka, hapa ni mwongozo juu ya kujenga na kushiriki katika maktaba ya zana ya jamii"
Kuandika mwongozo juu ya DIY miradi ya nishati mbadala kwa wamiliki wa nyumba,"Bila shaka, hapa ni mwongozo juu ya DIY miradi ya nishati mbadala kwa wamiliki wa nyumba"
