goal,target
በዕለት ተዕለት ሕይወት ውስጥ የፕላስቲክ ቆሻሻን ለመቀነስ ስትራቴጂ ማዘጋጀት,በእርግጠኝነት ፣ በዕለት ተዕለት ሕይወት ውስጥ የፕላስቲክ ቆሻሻን ለመቀነስ የሚያስችል ስትራቴጂ ይኸው ነው
በከተማ ስክሪፕት እና በፕሌን አየር ሥዕል ለጀማሪዎች መመሪያ ይፍጠሩ,"እርግጥ ነው, እዚህ ላይ የከተማ ስክሪፕት እና ፕሌን አየር ሥዕል ውስጥ ለጀማሪዎች መመሪያ ነው"
ግለሰቦች የዜሮ ቆሻሻ ሠርግ እንዲያቅዱ የሚረዳ ፕሮግራም ይጻፉ,አዎን፣ ግለሰቦች የዜሮ-ቆሻሻ ሠርግ እንዲያቅዱ የሚረዳ ፕሮግራም ይኸው ነው
የግል የካርቦን አሻራ ለመከታተል እና ለመቀነስ የሞባይል መተግበሪያ ማዘጋጀት,በእርግጥ ፣ እዚህ የግል የካርቦን አሻራ ለመከታተል እና ለመቀነስ የሞባይል መተግበሪያ አለ
የማህበረሰብ ዝግጅቶች እና ስብሰባዎች የካርቦን አሻራ እንዴት መቀነስ እንደሚቻል መመሪያ ይፃፉ,የማህበረሰብ ዝግጅቶች እና ስብስቦች የካርቦን አሻራ እንዴት መቀነስ እንደሚቻል መመሪያ
ቆሻሻን ለመቀነስ የማኅበራዊ ሚዲያ ተግዳሮት መፍጠር,አዎን፣ እዚህ ላይ የማኅበራዊ ሚዲያ ፈታኝ ሁኔታ ነው ቆሻሻን ለመቀነስ
በቨርቹዋል ደሴት ላይ ዘላቂ በሆነ መንገድ ለመኖር ተጫዋቾችን የሚፈታተን ጨዋታ ማዘጋጀት,ይህ ጨዋታ ተጫዋቾችን በቨርቹዋል ደሴት ላይ ዘላቂ በሆነ መንገድ ለመኖር ይፈታተናል ።
የጀርባ ግቢ የዱር እንስሳት መኖሪያ ለመፍጠር እና ለመንከባከብ ትምህርት ቤት ይፃፉ,እርግጥ ነው፣ የኋላ ጓሮ የዱር እንስሳት መኖሪያ እንዴት መፍጠርና መንከባከብ እንደሚቻል የሚያሳይ መመሪያ ይኸውልህ
በማህበረሰብ ላይ የተመሠረተ የፀሐይ ኃይል ህብረት ስራ ማህበር እንዴት እንደሚጀመር እና እንዴት እንደሚቆይ መመሪያ ይፃፉ,በእርግጠኝነት ፣ በማህበረሰብ ላይ የተመሠረተ የፀሐይ ኃይል ህብረት ስራ ማህበር እንዴት እንደሚጀመር እና እንዴት እንደሚቆይ መመሪያ ይኸውልዎት
የሕዝብ ንግግር እድገትን ለመከታተል የሞባይል አፕሊኬሽን ማዘጋጀት,በእርግጥም ፣ የአደባባይ ንግግር እድገትን ለመከታተል የሞባይል መተግበሪያ ልማት መመሪያ ይኸውልዎት
