goal,target
Phát triển một chiến lược để giảm chất thải nhựa trong cuộc sống hàng ngày,"Chắc chắn, đây là một chiến lược để giảm chất thải nhựa trong cuộc sống hàng ngày"
Tạo một hướng dẫn cho người mới bắt đầu vẽ phác thảo đô thị và vẽ plein air,"Chắc chắn, đây là một hướng dẫn cho người mới bắt đầu vẽ phác thảo đô thị và vẽ plein air"
Viết một chương trình giúp các cá nhân lên kế hoạch đám cưới không lãng phí,"Chắc chắn, đây là một chương trình giúp các cá nhân lên kế hoạch đám cưới không chất thải"
Phát triển một ứng dụng di động để theo dõi và giảm dấu chân carbon cá nhân,"Chắc chắn, đây là một ứng dụng di động để theo dõi và giảm dấu chân carbon cá nhân"
Viết một hướng dẫn về cách giảm dấu chân carbon của các sự kiện và cuộc tụ họp cộng đồng,"Chắc chắn, đây là một hướng dẫn về cách giảm dấu chân carbon của các sự kiện cộng đồng và các cuộc tụ họp"
Tạo một thách thức truyền thông xã hội để giảm chất thải,"Chắc chắn, đây là một thách thức truyền thông xã hội để giảm chất thải"
Phát triển một trò chơi thách thức người chơi sống bền vững trên một hòn đảo ảo,"Chắc chắn, đây là một trò chơi thách thức người chơi sống bền vững trên một hòn đảo ảo"
Viết một hướng dẫn về việc tạo ra và chăm sóc một môi trường sống hoang dã sân sau,"Chắc chắn, đây là một hướng dẫn về việc tạo ra và chăm sóc cho một môi trường sống hoang dã sân sau"
Viết một hướng dẫn về cách bắt đầu và duy trì một hợp tác xã năng lượng mặt trời dựa trên cộng đồng,"Chắc chắn, đây là một hướng dẫn về cách bắt đầu và duy trì một hợp tác xã năng lượng mặt trời dựa trên cộng đồng"
Phát triển một ứng dụng di động để theo dõi tiến độ phát biểu trước công chúng,"Chắc chắn, đây là hướng dẫn phát triển ứng dụng di động để theo dõi sự tiến bộ nói trước công chúng"
Tạo một hướng dẫn để tạo ra và duy trì một hệ thống phân bón trong nhà,"Chắc chắn, đây là một hướng dẫn để tạo ra và duy trì một hệ thống phân bón trong nhà"
Viết một chương trình giúp tính toán tác động môi trường của các lựa chọn hàng ngày,"Chắc chắn, đây là một chương trình giúp tính toán tác động môi trường của các lựa chọn hàng ngày"
Phát triển một trang web để buôn bán hàng hóa và công thức nấu ăn tự chế,"Chắc chắn, đây là một hướng dẫn phát triển trang web để buôn bán hàng hóa và công thức nấu ăn tự chế"
Tạo một hướng dẫn về việc làm và sử dụng thuốc chống côn trùng thân thiện với môi trường tự chế,"Chắc chắn, đây là một hướng dẫn về việc làm và sử dụng thuốc chống côn trùng thân thiện với môi trường tự chế"
Viết một hướng dẫn về thời trang đạo đức và cách mua sắm bền vững,"Chắc chắn, đây là một hướng dẫn về thời trang đạo đức và làm thế nào để mua sắm bền vững"
Tạo một hướng dẫn về nấu ăn với các thành phần foraged,"Chắc chắn, đây là một hướng dẫn về nấu ăn với các thành phần foraged"
Viết một hướng dẫn về chánh niệm và thiền định cho người mới bắt đầu,"Chắc chắn, đây là một hướng dẫn về chánh thức và thiền định cho người mới bắt đầu"
Phát triển một trang web để theo dõi và chia sẻ tiến độ dự án DIY,"Chắc chắn, đây là một hướng dẫn phát triển trang web để theo dõi và chia sẻ tiến độ dự án DIY"
Tạo một chương trình giúp tổ chức và quản lý tài chính cá nhân,"Chắc chắn, đây là một chương trình giúp tổ chức và quản lý tài chính cá nhân"
Phát triển một trò chơi dạy về tác động của ô nhiễm đối với động vật hoang dã và hệ sinh thái,"Chắc chắn, đây là một trò chơi dạy về tác động của ô nhiễm đối với động vật hoang dã và hệ sinh thái"
Tạo một trang web để cho mượn sách và tài liệu giáo dục giữa các đồng nghiệp,"Chắc chắn, đây là một hướng dẫn phát triển trang web cho vay peer-to-peer sách và tài liệu giáo dục"
Viết một hướng dẫn về việc tạo ra một mạng lưới an toàn cộng đồng cho dân số dễ bị tổn thương,"Chắc chắn, đây là một hướng dẫn về việc tạo ra một mạng lưới an toàn cộng đồng cho dân số dễ bị tổn thương"
Viết một hướng dẫn về việc xây dựng và tham gia vào một thư viện công cụ cộng đồng,"Chắc chắn, đây là một hướng dẫn về việc xây dựng và tham gia vào một thư viện công cụ cộng đồng"
Viết một hướng dẫn về các dự án năng lượng tái tạo DIY cho chủ nhà,"Chắc chắn, đây là một hướng dẫn về các dự án năng lượng tái tạo DIY cho chủ nhà"
Viết một hướng dẫn về cách bắt đầu một chương trình giám sát môi trường dựa trên cộng đồng,"Chắc chắn, đây là một hướng dẫn về cách bắt đầu một chương trình giám sát môi trường dựa trên cộng đồng"
Tạo một chiến lược cho các sáng kiến do cộng đồng dẫn dắt để cải thiện chất lượng không khí địa phương,"Chắc chắn, đây là một chiến lược cho các sáng kiến do cộng đồng lãnh đạo để cải thiện chất lượng không khí địa phương"
Viết một chương trình tạo điều kiện cho việc chia sẻ các sản phẩm trồng tại nhà,"Chắc chắn, đây là một chương trình tạo điều kiện cho việc chia sẻ các sản phẩm trồng tại nhà"
Phát triển một chiến lược để thu hút các thành viên cộng đồng vào các dự án đa dạng sinh học địa phương,"Chắc chắn, đây là một chiến lược để thu hút các thành viên cộng đồng vào các dự án đa dạng sinh học địa phương"
Phát triển một hướng dẫn để tạo các khóa học trực tuyến tương tác,"Chắc chắn, đây là một hướng dẫn để tạo các khóa học trực tuyến tương tác"
Phát triển một trò chơi dạy về thực tiễn nông nghiệp bền vững,"Chắc chắn, đây là một trò chơi dạy về thực tiễn nông nghiệp bền vững"
Phát triển một trò chơi khuyến khích khám phá và đánh giá cao lịch sử địa phương,"Chắc chắn, đây là một hướng dẫn phát triển trò chơi khuyến khích khám phá và đánh giá cao lịch sử địa phương"
