goal,target
Desarrollar una estrategia para reducir los residuos plásticos en la vida diaria,"Claro, aquí hay una estrategia para reducir los desechos plásticos en la vida diaria"
Crear una guía para principiantes en dibujo urbano y pintura al aire libre,"Claro, aquí hay una guía para principiantes en dibujo urbano y pintura al aire libre"
Escribir un programa que ayude a las personas a planificar bodas de cero residuos,"Claro, aquí hay un programa que ayuda a las personas a planear bodas de cero residuos"
Desarrollar una aplicación móvil para rastrear y reducir la huella de carbono personal,"Claro, aquí hay una aplicación móvil para rastrear y reducir la huella de carbono personal"
Escribir una guía sobre cómo reducir la huella de carbono de los eventos y reuniones comunitarias,"Claro, aquí hay una guía sobre cómo reducir la huella de carbono de los eventos y reuniones comunitarias"
Crear un desafío en las redes sociales para la reducción de residuos,"Claro, aquí está un desafío de las redes sociales para la reducción de residuos"
Desarrollar un juego que desafía a los jugadores a vivir de manera sostenible en una isla virtual,"Claro, aquí hay un juego que desafía a los jugadores a vivir de manera sostenible en una isla virtual"
Escribir un tutorial sobre la creación y el cuidado de un hábitat de vida silvestre en el patio trasero,"Claro, aquí hay un tutorial sobre cómo crear y cuidar un hábitat de vida silvestre en el patio trasero"
Escribir una guía sobre cómo iniciar y mantener una cooperativa de energía solar basada en la comunidad,"Claro, aquí hay una guía sobre cómo comenzar y mantener una cooperativa de energía solar basada en la comunidad"
Desarrollar una aplicación móvil para rastrear el progreso de las conferencias públicas,"Claro, aquí hay una guía de desarrollo de aplicaciones móviles para rastrear el progreso de hablar en público"
Crear una guía para la creación y el mantenimiento de un sistema de compost interior,"Claro, aquí hay una guía para crear y mantener un sistema de compost interior"
Escribir un programa que ayude a calcular el impacto ambiental de las elecciones diarias,"Claro, aquí hay un programa que ayuda a calcular el impacto ambiental de las elecciones diarias"
Desarrollar un sitio web para el comercio de productos caseros y recetas,"Claro, aquí hay una guía de desarrollo de sitios web para el comercio de productos caseros y recetas"
Crear un tutorial sobre la fabricación y el uso de repelentes de insectos ecológicos caseros,"Claro, aquí hay un tutorial sobre cómo hacer y usar repelentes de insectos ecológicos caseros"
Escribir un tutorial sobre la moda ética y cómo comprar de manera sostenible,"Claro, aquí hay un tutorial sobre moda ética y cómo comprar de manera sostenible"
Crear un tutorial sobre cocinar con ingredientes de forraje,"Claro, aquí hay un tutorial sobre cocinar con ingredientes foragidos"
Escribir una guía sobre la atención plena y la meditación para principiantes,"Claro, aquí hay una guía sobre atención plena y meditación para principiantes"
Desarrollar un sitio web para rastrear y compartir el progreso del proyecto DIY,"Claro, aquí hay una guía de desarrollo de sitios web para rastrear y compartir el progreso del proyecto DIY"
Crear un programa que ayude a organizar y administrar las finanzas personales,"Claro, aquí hay un programa que ayuda a organizar y administrar las finanzas personales"
Desarrollar un juego que enseñe sobre los impactos de la contaminación en la vida silvestre y los ecosistemas,"Claro, aquí hay un juego que enseña sobre los impactos de la contaminación en la vida silvestre y los ecosistemas"
Crear un sitio web para el préstamo de libros y materiales educativos entre pares,"Claro, aquí hay una guía de desarrollo de sitios web para el préstamo peer-to-peer de libros y materiales educativos"
Escribir una guía sobre la creación de una red de seguridad comunitaria para las poblaciones vulnerables,"Claro, aquí hay una guía sobre la creación de una red de seguridad comunitaria para las poblaciones vulnerables"
Escribir una guía sobre la construcción y la participación en una biblioteca de herramientas comunitarias,"Claro, aquí hay una guía para construir y participar en una biblioteca de herramientas comunitarias"
Escribir una guía sobre proyectos de energía renovable DIY para propietarios de viviendas,"Claro, aquí hay una guía sobre proyectos de energía renovable DIY para propietarios"
Escribir una guía sobre cómo iniciar un programa de monitoreo ambiental basado en la comunidad,"Claro, aquí hay una guía sobre cómo comenzar un programa de monitoreo ambiental basado en la comunidad"
Crear una estrategia para iniciativas dirigidas por la comunidad para mejorar la calidad del aire local,"Claro, aquí hay una estrategia para iniciativas dirigidas por la comunidad para mejorar la calidad del aire local"
Escribir un programa que facilite el intercambio de productos cultivados en casa,"Claro, aquí hay un programa que facilita el intercambio de productos cultivados en casa"
Desarrollar una estrategia para involucrar a los miembros de la comunidad en proyectos locales de biodiversidad,"Claro, aquí hay una estrategia para involucrar a los miembros de la comunidad en proyectos locales de biodiversidad"
Desarrollar una guía para la creación de cursos interactivos en línea,"Claro, aquí hay una guía para crear cursos interactivos en línea"
Desarrollar un juego que enseñe sobre prácticas agrícolas sostenibles,"Claro, aquí hay un juego que enseña sobre prácticas agrícolas sostenibles"
Desarrollar un juego que fomente la exploración y la apreciación de la historia local,"Claro, aquí hay una guía de desarrollo de juegos que fomenta la exploración y la apreciación de la historia local"
Escribir un programa que ayude con el desorden de los espacios físicos,"Claro, aquí hay un programa que ayuda a despejar los espacios físicos"
Desarrollar una aplicación móvil para identificar productos y empresas éticos,"Claro, aquí hay una guía de desarrollo de aplicaciones móviles para identificar productos y compañías éticas"
Escribir una guía sobre la creación de un techo vivo o una pared verde,"Claro, aquí hay una guía para crear un techo vivo o una pared verde"
Desarrollar una estrategia para colaborar y apoyar a los teatros locales,"Claro, aquí hay una estrategia para involucrarse y apoyar a los teatros locales"
