goal,target
일상 생활에서 플라스틱 폐기물을 줄이기 위한 전략을 개발합니다.,"물론, 일상 생활에서 플라스틱 폐기물을 줄이기 위한 전략이 있습니다."
도시 스케치와 플레인 에어 페인팅의 초보자를 위한 가이드를 작성합니다.,"물론, 여기 도시 스케치와 플레인 에어 페인팅의 초보자 가이드가 있습니다."
개인이 제로 폐기물 결혼식을 계획하는 데 도움이 되는 프로그램을 작성합니다.,"물론, 여기에 개인이 제로 폐기물 결혼식을 계획하는 데 도움이되는 프로그램이 있습니다."
개인의 탄소 발자국을 추적하고 줄이기 위한 모바일 앱을 개발합니다.,"물론, 여기 개인의 탄소 발자국을 추적하고 줄이기 위한 모바일 앱이 있습니다."
지역 사회 행사 및 모임의 탄소 발자국을 줄이는 방법에 대한 가이드를 작성합니다.,"물론, 여기 지역 사회 행사와 모임의 탄소 발자국을 줄이는 방법에 대한 가이드가 있습니다."
폐기물 감축을 위한 소셜 미디어 린지를 만들어라,"물론, 여기 폐기물 감축을 위한 소셜 미디어 도전이 있습니다."
가상 섬에서 지속 가능한 삶을 살도록 플레이어에게 도전하는 게임을 개발합니다.,"물론, 여기에는 가상 섬에서 지속 가능한 생활을 위해 플레이어에게 도전하는 게임이 있습니다."
뒷마당 야생동물 서식지를 만들고 돌보는 방법에 대한 튜토리얼을 작성하십시오.,"물론, 여기 야생동물 서식지를 만들고 돌보는 방법에 대한 튜토리얼이 있습니다."
지역 사회 기반의 태양광 발전 협동조합을 시작하고 유지하는 방법에 대한 가이드를 작성합니다.,"물론, 여기 지역 사회 기반의 태양광 발전 협동조합을 시작하고 유지하는 방법에 대한 가이드가 있습니다."
대중 연설 진행을 추적할 수 있는 모바일 앱을 개발합니다.,"물론, 여기 대중 연설의 진보를 추적하기 위한 모바일 앱 개발 가이드가 있습니다."
실내 스트 시스템을 만들고 유지 관리하는 가이드를 작성합니다.,"물론, 여기 실내 비료 시스템을 만들고 유지 관리하는 가이드가 있습니다."
일상적인 선택의 환경적 영향을 계산하는 데 도움이 되는 프로그램을 작성하세요.,"물론, 여기 일상적인 선택의 환경적 영향을 계산하는 데 도움이 되는 프로그램이 있습니다."
집에서 만든 상품과 조리법을 거래하는 웹사이트를 개발합니다.,"물론, 여기 집에서 만든 상품과 조리법을 거래하는 웹사이트 개발 가이드가 있습니다."
가정용 친환경 곤충 기제를 만드는 방법과 사용하는 방법에 대한 튜토리얼을 작성합니다.,"물론, 여기 가정용 친환경 곤충 기제를 만드는 방법과 사용하는 방법에 대한 튜토리얼이 있습니다."
윤리적 패션과 지속가능한 쇼핑 방법에 대한 튜토리얼을 작성합니다.,"물론, 여기 윤리적 패션과 지속 가능한 쇼핑에 대한 튜토리얼이 있습니다."
먹이를 얻은 재료로 요리하는 튜토리얼을 만들기,"물론, 여기 먹이 재료로 요리하는 튜토리얼이 있습니다."
초보자를 위한 마음김과 명상에 대한 가이드를 작성합니다.,"물론, 여기 초보자를 위한 마음김과 명상에 대한 가이드가 있습니다."
DIY 프로젝트 진행 상황을 추적하고 공유할 수 있는 웹사이트를 개발합니다.,"물론, 여기 DIY 프로젝트 진행 상황을 추적하고 공유하기 위한 웹사이트 개발 가이드가 있습니다."
개인 재정 을 정리 하고 관리 하는 데 도움 이 되는 프로그램 을 만들기,"물론, 여기 개인 재정을 조직하고 관리하는 데 도움이 되는 프로그램이 있습니다."
야생동물과 생태계에 미치는 오염의 영향에 대해 가르치는 게임을 개발합니다.,야생동물과 생태계에 미치는 오염의 영향에 대해 가르치는 게임입니다.
책과 교육 자료를 peer-to-peer 대출하기 위한 웹 사이트를 만들기,"물론, 여기 책과 교육 자료의 피어-투-피어 대출을 위한 웹사이트 개발 가이드가 있습니다."
